name,id
Abraham Moss,1
Altrincham,2
Anchorage,3
ARDWICK,4
ASHBURYS,5
Ashton Moss,6
Ashton West,7
Ashton-Under-Lyne,8
ATHERTON,9
Audenshaw,10
Baguley,11
Barlow Moor Road,12
Barton Dock Road,13
BELLE VUE,14
Benchill,15
Besses o'th'Barn,16
BLACKROD,17
BOLTON INTERCHANGE,18
Bowker Vale,19
BRAMHALL,20
BREDBURY,21
BRINNINGTON,22
BROADBOTTOM,23
Broadway,24
BROMLEY CROSS,25
Brooklands,26
BRYN,27
BURNAGE,28
Burton Road,29
Bury,30
CASTLETON,31
Cemetery Road,32
Central Park,33
CHASSEN ROAD,34
CHEADLE HULME,35
Chorlton,36
Clayton Hall,37
CLIFTON,38
Cornbrook,39
Crossacres,40
Crumpsall,41
DAISY HILL,42
Dane Road,43
DAVENPORT,44
Deansgate-Castlefield,45
Derker,46
Didsbury Village,47
Droylsden,48
East Didsbury,49
Eccles,50
Edge Lane,51
Etihad Campus,52
Exchange Quay,53
Exchange Square,54
Failsworth,55
FAIRFIELD,56
FARNWORTH,57
Firswood,58
FLIXTON,59
FLOWERY FIELD,60
Freehold,61
GATHURST,62
GATLEY,63
GODLEY,64
GORTON,65
GREENFIELD,66
GUIDE BRIDGE,67
HAG FOLD,68
HALE,69
HALL I'TH' WOOD,70
Harbour City,71
HATTERSLEY,72
HAZEL GROVE,73
HEALD GREEN,74
HEATON CHAPEL,75
Heaton Park,76
HINDLEY,77
Hollinwood,78
Holt Town,79
HORWICH PARKWAY,80
HUMPHREY PARK,81
HYDE CENTRAL,82
HYDE NORTH,83
Imperial War Museum,84
INCE,85
IRLAM,86
KEARSLEY,87
Kingsway Business Park,88
Ladywell,89
Langworthy,90
LEVENSHULME,91
LITTLEBOROUGH,92
LOSTOCK,93
MANCHESTER OXFORD ROAD,94
Market Street,95
MARPLE,96
Martinscroft,97
MAULDETH ROAD,98
MediaCityUK,99
MIDDLEWOOD,100
MILLS HILL,101
Milnrow,102
Monsall,103
Moor Road,104
MOORSIDE,105
MOSES GATE,106
MOSSLEY,107
MOSTON,108
Navigation Road,109
New Islington,110
Newbold,111
Newhey,112
NEWTON FOR HYDE,113
Newton Heath & Moston,114
Northern Moor,115
Old Trafford,116
Oldham Central,117
Oldham King Street,118
Oldham Mumps,119
ORRELL,120
Parkway,121
PATRICROFT,122
Peel Hall,123
PEMBERTON,124
Piccadilly,125
Piccadilly Gardens,126
Pomona,127
Prestwich,128
Queens Road,129
Radcliffe,130
REDDISH NORTH,131
REDDISH SOUTH,132
Robinswood Road,133
Rochdale,134
Rochdale Railway Station,135
ROMILEY,136
ROSE HILL,137
Roundthorn,138
RYDER BROW,139
Sale,140
Sale Water Park,141
SALFORD CENTRAL,142
SALFORD CRESCENT,143
Salford Quays,144
Shadowmoss,145
Shaw and Crompton,146
Shudehill,147
SMITHY BRIDGE,148
South Chadderton,149
St Peter's Square,150
St Werburgh's Road,151
STALYBRIDGE,152
STOCKPORT,153
Stretford,154
SWINTON,155
The Trafford Centre,156
Timperley,157
Trafford Bar,158
TRAFFORD PARK,159
URMSTON,160
Velopark,161
Victoria,162
Village,163
WALKDEN,164
Weaste,165
West Didsbury,166
WESTHOUGHTON,167
Westwood,168
Wharfside,169
Whitefield,170
WIGAN NORTH WESTERN,171
WIGAN WALLGATE,172
Withington,173
WOODLEY,174
WOODSMOOR,175
Wythenshawe Park,176
Wythenshawe Town Centre,177
